hierarchyId	pCFID	name	folderName	verb	object	category
1.1	17040	Define the business concept and long-term vision	1.1-DefineTheBusinessConceptAndLongTermVision	Define	Business Concept And Long-term Vision	Develop Vision and Strategy
1.2	10015	Develop business strategy	1.2-DevelopBusinessStrategy	Develop	Business Strategy	Develop Vision and Strategy
1.3	10016	Execute and measure strategic initiatives	1.3-ExecuteAndMeasureStrategicInitiatives	Execute	And Measure Strategic Initiatives	Develop Vision and Strategy
1.4	20944	Develop and maintain business models	1.4-DevelopAndMaintainBusinessModels	Develop	And Maintain Business Models	Develop Vision and Strategy
2.1	19696	Govern and manage product/service development program	2.1-GovernAndManageProductServiceDevelopmentProgram	Govern	And Manage Product/service Development Program	Design and Develop Products and Services
2.2	19698	Generate and define new product/service ideas	2.2-GenerateAndDefineNewProductServiceIdeas	Generate	And Define New Product/service Ideas	Design and Develop Products and Services
2.3	10062	Develop products and services	2.3-DevelopProductsAndServices	Develop	Products And Services	Design and Develop Products and Services
3.1	10101	Understand markets, customers, and capabilities	3.1-UnderstandMarketsCustomersAndCapabilities	Understand	Markets, Customers, And Capabilities	Market and Sell Products and Services
3.2	10102	Develop marketing strategy	3.2-DevelopMarketingStrategy	Develop	Marketing Strategy	Market and Sell Products and Services
3.3	19644	Develop and manage marketing plans	3.3-DevelopAndManageMarketingPlans	Develop	And Manage Marketing Plans	Market and Sell Products and Services
3.4	10103	Develop trade customer sales strategy	3.4-DevelopTradeCustomerSalesStrategy	Develop	Trade Customer Sales Strategy	Market and Sell Products and Services
3.5	10105	Develop and manage sales plans	3.5-DevelopAndManageSalesPlans	Develop	And Manage Sales Plans	Market and Sell Products and Services
4.1	10215	Plan for and align supply chain resources	4.1-PlanForAndAlignSupplyChainResources	Plan	For And Align Supply Chain Resources	Deliver Products
4.2	10216	Procure materials and services	4.2-ProcureMaterialsAndServices	Procure	Materials And Services	Deliver Products
4.3	10217	Produce/Assemble/Test product	4.3-ProduceAssembleTestProduct	Produce/Assemble/Test	Product	Deliver Products
4.4	10219	Manage logistics and warehousing	4.4-ManageLogisticsAndWarehousing	Manage	Logistics And Warehousing	Deliver Products
5.1	20026	Establish service delivery governance and strategies	5.1-EstablishServiceDeliveryGovernanceAndStrategies	Establish	Service Delivery Governance And Strategies	Deliver Services
5.2	20040	Manage service delivery resources	5.2-ManageServiceDeliveryResources	Manage	Service Delivery Resources	Deliver Services
5.3	20058	Deliver service to customer	5.3-DeliverServiceToCustomer	Deliver	Service To Customer	Deliver Services
6.1	10378	Develop customer care/customer service strategy	6.1-DevelopCustomerCareCustomerServiceStrategy	Develop	Customer Care/customer Service Strategy	Manage Customer Service
6.2	19680	Plan and manage customer service operations	6.2-PlanAndManageCustomerServiceOperations	Plan	And Manage Customer Service Operations	Manage Customer Service
6.3	12658	Service products after sales	6.3-ServiceProductsAfterSales	Service	Products After Sales	Manage Customer Service
6.4	19671	Manage product recalls and regulatory audits	6.4-ManageProductRecallsAndRegulatoryAudits	Manage	Product Recalls And Regulatory Audits	Manage Customer Service
6.5	20595	Evaluate customer service operations and customer satisfaction	6.5-EvaluateCustomerServiceOperationsAndCustomerSatisfaction	Evaluate	Customer Service Operations And Customer Satisfaction	Manage Customer Service
7.1	17043	Develop and manage human resources (HR) planning, policies, and strategies	7.1-DevelopAndManageHumanResourcesHrPlanningPoliciesAndStrategies	Develop	And Manage Human Resources (HR) Planning, Policies, And Strategies	Develop and Manage Human Capital
7.2	10410	Recruit, source, and select employees	7.2-RecruitSourceAndSelectEmployees	Recruit,	Source, And Select Employees	Develop and Manage Human Capital
7.3	20599	Manage employee on-boarding, development, and training	7.3-ManageEmployeeOnBoardingDevelopmentAndTraining	Manage	Employee On-boarding, Development, And Training	Develop and Manage Human Capital
7.4	17052	Manage employee relations	7.4-ManageEmployeeRelations	Manage	Employee Relations	Develop and Manage Human Capital
7.5	10412	Reward and retain employees	7.5-RewardAndRetainEmployees	Reward	And Retain Employees	Develop and Manage Human Capital
7.6	10413	Redeploy and retire employees	7.6-RedeployAndRetireEmployees	Redeploy	And Retire Employees	Develop and Manage Human Capital
7.7	17056	Manage employee information and analytics	7.7-ManageEmployeeInformationAndAnalytics	Manage	Employee Information And Analytics	Develop and Manage Human Capital
7.8	17057	Manage employee communication	7.8-ManageEmployeeCommunication	Manage	Employee Communication	Develop and Manage Human Capital
7.9	10532	Deliver employee communications	7.9-DeliverEmployeeCommunications	Deliver	Employee Communications	Develop and Manage Human Capital
8.1	20608	Develop and manage IT customer relationships	8.1-DevelopAndManageItCustomerRelationships	Develop	And Manage IT Customer Relationships	Manage Information Technology (IT)
8.2	20652	Develop and manage IT business strategy	8.2-DevelopAndManageItBusinessStrategy	Develop	And Manage IT Business Strategy	Manage Information Technology (IT)
8.3	20706	Develop and manage IT resilience and risk	8.3-DevelopAndManageItResilienceAndRisk	Develop	And Manage IT Resilience And Risk	Manage Information Technology (IT)
8.4	20765	Manage information	8.4-ManageInformation	Manage	Information	Manage Information Technology (IT)
8.5	20784	Develop and manage services/solutions	8.5-DevelopAndManageServicesSolutions	Develop	And Manage Services/solutions	Manage Information Technology (IT)
8.6	20824	Deploy services/solutions	8.6-DeployServicesSolutions	Deploy	Services/solutions	Manage Information Technology (IT)
8.7	20866	Create and manage support services/solutions	8.7-CreateAndManageSupportServicesSolutions	Create	And Manage Support Services/solutions	Manage Information Technology (IT)
9.1	10728	Perform planning and management accounting	9.1-PerformPlanningAndManagementAccounting	Perform	Planning And Management Accounting	Manage Financial Resources
9.2	10729	Perform revenue accounting	9.2-PerformRevenueAccounting	Perform	Revenue Accounting	Manage Financial Resources
9.3	10730	Perform general accounting and reporting	9.3-PerformGeneralAccountingAndReporting	Perform	General Accounting And Reporting	Manage Financial Resources
9.4	10731	Manage fixed-asset project accounting	9.4-ManageFixedAssetProjectAccounting	Manage	Fixed-asset Project Accounting	Manage Financial Resources
9.5	10732	Process payroll	9.5-ProcessPayroll	Process	Payroll	Manage Financial Resources
9.6	10733	Process accounts payable and expense reimbursements	9.6-ProcessAccountsPayableAndExpenseReimbursements	Process	Accounts Payable And Expense Reimbursements	Manage Financial Resources
9.7	10734	Manage treasury operations	9.7-ManageTreasuryOperations	Manage	Treasury Operations	Manage Financial Resources
9.8	10735	Manage internal controls	9.8-ManageInternalControls	Manage	Internal Controls	Manage Financial Resources
9.9	10736	Manage taxes	9.9-ManageTaxes	Manage	Taxes	Manage Financial Resources
9.10	10737	Manage international funds/consolidation	9.10-ManageInternationalFundsConsolidation	Manage	International Funds/consolidation	Manage Financial Resources
9.11	17059	Perform global trade services	9.11-PerformGlobalTradeServices	Perform	Global Trade Services	Manage Financial Resources
10.1	10937	Plan and acquire assets	10.1-PlanAndAcquireAssets	Plan	And Acquire Assets	Acquire, Construct, and Manage Assets
10.2	19208	Design and construct productive assets	10.2-DesignAndConstructProductiveAssets	Design	And Construct Productive Assets	Acquire, Construct, and Manage Assets
10.3	19238	Maintain productive assets	10.3-MaintainProductiveAssets	Maintain	Productive Assets	Acquire, Construct, and Manage Assets
10.4	10940	Dispose of assets	10.4-DisposeOfAssets	Dispose	Of Assets	Acquire, Construct, and Manage Assets
11.1	17060	Manage enterprise risk	11.1-ManageEnterpriseRisk	Manage	Enterprise Risk	Manage Enterprise Risk, Compliance, Remediation, and Resiliency
11.2	17467	Manage compliance	11.2-ManageCompliance	Manage	Compliance	Manage Enterprise Risk, Compliance, Remediation, and Resiliency
11.3	11185	Manage remediation efforts	11.3-ManageRemediationEfforts	Manage	Remediation Efforts	Manage Enterprise Risk, Compliance, Remediation, and Resiliency
11.4	11216	Manage business resiliency	11.4-ManageBusinessResiliency	Manage	Business Resiliency	Manage Enterprise Risk, Compliance, Remediation, and Resiliency
12.1	11010	Build investor relationships	12.1-BuildInvestorRelationships	Build	Investor Relationships	Manage External Relationships
12.2	11011	Manage government and industry relationships	12.2-ManageGovernmentAndIndustryRelationships	Manage	Government And Industry Relationships	Manage External Relationships
12.3	11012	Manage relations with board of directors	12.3-ManageRelationsWithBoardOfDirectors	Manage	Relations With Board Of Directors	Manage External Relationships
12.4	11013	Manage legal and ethical issues	12.4-ManageLegalAndEthicalIssues	Manage	Legal And Ethical Issues	Manage External Relationships
12.5	11014	Manage public relations program	12.5-ManagePublicRelationsProgram	Manage	Public Relations Program	Manage External Relationships
13.1	16378	Manage business processes	13.1-ManageBusinessProcesses	Manage	Business Processes	Develop and Manage Business Capabilities
13.2	16400	Manage portfolio, program, and project	13.2-ManagePortfolioProgramAndProject	Manage	Portfolio, Program, And Project	Develop and Manage Business Capabilities
13.3	17471	Manage enterprise quality	13.3-ManageEnterpriseQuality	Manage	Enterprise Quality	Develop and Manage Business Capabilities
13.4	11074	Manage change	13.4-ManageChange	Manage	Change	Develop and Manage Business Capabilities
13.5	11073	Develop and manage enterprise-wide knowledge management (KM) capability	13.5-DevelopAndManageEnterpriseWideKnowledgeManagementKmCapability	Develop	And Manage Enterprise-wide Knowledge Management (KM) Capability	Develop and Manage Business Capabilities
13.6	16436	Measure and benchmark	13.6-MeasureAndBenchmark	Measure	And Benchmark	Develop and Manage Business Capabilities
13.7	11179	Manage environmental health and safety (EHS)	13.7-ManageEnvironmentalHealthAndSafetyEhs	Manage	Environmental Health And Safety (EHS)	Develop and Manage Business Capabilities
13.8	20959	Develop, Manage, and Deliver Analytics	13.8-DevelopManageAndDeliverAnalytics	Develop,	Manage, And Deliver Analytics	Develop and Manage Business Capabilities
